Source,ID,Review statement,Class,Verification,Action / where
Review 1,"A.9 corrections (FLT/RDY on V5GD with RFLTC, V5GD monitor, QLVS topology and clamp, ULDOEX INH, QA01C-18, discharge divider, RFS4, ASC logic, JDIS/JCTL map)",present and correct; keep them,Already Fixed,Agreed.,Kept.
Review 1,S9-01,MODERATE — RASCG (2.2 k) has no power specification; it dissipates 76–119 mW continuously while ASC is held,Confirmed,"(V18A − ZASC)²/R: 20.9 V into 4.8 V at −1 % gives 0.119 W, for as long as ASC is held (minutes at speed). A 0.1 W 0603 allows 82 mW at 85 °C.","RASCG = ROHM ESR03EZPF2201: 0.33 W at 70 °C → 0.27 W at 85 °C, 2.3× margin. The 2.2 k is kept because it sets the ASC break-before-make RC with CASCD. Computed row; MPN locked. +₹0.7."
Review 1,S9-02,"MINOR — the discharge sheet still says ""passive 67.5k bleeder (58 s)""",Confirmed (documentation),The network is 2 × 6 × 22 k = 66 k.,"The sheet heading now reads ""passive 66k bleeder (56 s nom / 65 s worst)""."
Review 1,Note,"the divider does not guarantee a hard 18.0 V ceiling (18.17 V ideal, 18.22 V at 1 %)",Confirmed (wording),Agreed.,"""13.3–18.2 V with 1 % resistors — a divider, not a clamp"", in the model, board comment, parts-db and notes."
Review 1,Note,"use the final harness map, not the interim pin-39 wording",Confirmed (documentation),The A9 disposition's A8-01 row still quoted pin 39.,"Row corrected to the final map (V5GD on pin 1, HW_ID 2, VBAT_H 19/20, VBAT_L 39/40)."
Review 1,Note,row-by-row numbering puts VBAT_H across from VBAT_L,Improvement Recommended (documentation),Both come from VBSW; a bridge only parallels the two polyfuses.,Noted in the HARNESS40 comment; no remap.
Review 1,"UMCU symbolic, JIC/JICC class",still to bind before a manufacturing netlist,"Already Fixed (tracked gates A6-R12, R9X-02)",—,Unchanged.
Review 2,A9-S01,MAJOR (margin) — RDY_HS/RDY_LS still drive the 74LVC1G11-Q100 inputs directly through 5.1 k pull-ups; the gate allows 10 ns/V,"Confirmed — reverses the round-8 ""rejected as over-engineering"" entry","The Nexperia 74LVC1G11 table gives Δt/ΔV ≤ 10 ns/V at 2.7–5.5 V; the ""Schmitt action"" wording does not waive it. 5.1 k into ≥ 10 pF of harness and driver capacitance gives ≥ 21 ns/V. The earlier argument still holds functionally: the edge only returns an AND input to its permissive level, at boot while MCU_GATE_EN is low, and in running behind the EN deglitch. But it left the primary shutdown chain outside its datasheet.","USCH3 (74LVC3G17-Q100): 1A = RDY_HS → UAND1.C, 2A = RDY_LS → UAND2.B, channel 3 tied low, 100 nF local. RRDB 100 k: a dead USCH3 reads RDY_HS low, so DRV_EN goes low, as RSCH and RFCB do for their buffers. The MCU keeps reading the raw RDY lines. FW-16 steps d/e now cover both USCH3 channels. ERC by pin number, plus ""no raw RDY line on an AND input"". ≈ ₹10.6."
Review 2,V5GD pull-up correction (with RFLTC),right; keep it,Already Fixed,—,Kept.
Review 2,V5GD-off hover via the module-NTC clamps,not new; already a tracked item,"Already Fixed (tracked: R9X-06 bench item, PTB5 detection)",—,Unchanged.
Review 2,"LV feed switch, CLVSM 50 V",correctly connected,Already Fixed,—,Kept; inrush stays a measurement.
Review 2,QA01C-18 and the discharge divider,"keep; a divider, not a clamp",Already Fixed / wording,—,"See review 1, note 1."
Review 2,Harness: VBAT_H across from VBAT_L,"not a signal hazard, but not proof of independent fusing",Improvement Recommended (documentation),—,See review 1.
Review 2,RFS4 ESR03,valid; no need for 1206,Already Fixed,—,Kept.
