Source,ID,Review statement,Class,Verification,Action / where
Review 1,"A20-N01 (md, reviewer 1)","MINOR — `qualification-plan.md` §0.2 still names SMDJ8.5A-HRA as the exciter TVS, 0x0A0F0011 as the production firmware ID and a validation record for that ID, while §7 and the BOM use SMDJ7.0A-HRA and the header 0x0A0F0013; a technician could select the wrong assembly baseline or prepare an old-ID record; mark the old baseline historical and add one current definition; do not relabel an old record",**Confirmed** — and broader,"§0.2 rows HW/FW/VAL as quoted; the same 0x0A0F0011 in the plan's opening baseline (line 10), the QP-EOL identity criterion, the validation-record specification and a closes-list; `firmware/README.md` items 22 and 29; `docs/firmware-contract.md` §10c","§0.2 → **HW A.20+** (SMDJ7.0A-HRA, ESR18EZPF2R20; an A.15–A.17 build named as a different protection configuration whose exciter-fault results do not transfer, F205), **FW 0x0A0F0013**, **VAL for 0x0A0F0013** measured and sealed on the image flashed; every other mention marked as history; the firmware README and contract brought to the current ID. **F209**"
Review 1,md — F208 confirmed closed,README gate ㉘ and QP-RX-04 step 3 at 0.37 Ω; 0.29 Ω historical; 42.62 / 37.92 A reproduced; 0.35 Ω PTC is a 23 °C figure,Already Fixed (round 21),—,none
Review 1,md — TVS and 4XX alternates retained,SMDJ7.0A / SQP10AJB-220R as before,Already Fixed (round 20),—,none
Review 1,md — charging and post-trip figures,9.021 V / 34.834 A / 3.844 A; 59.9 µs; 230–231 µC; 276 µs to 99 %; 1.72 / 0.93 / 0.45 / 0.26 W,Already Fixed (F207/F208) — reproduces the rows,—,none
Review 1,md — firmware unchanged,the whole `firmware/` tree is `37f4054…` at A.19 and A.20,Not Applicable (confirmation),`git diff --stat 551c405 0ff44d9 -- firmware` is empty,none
Review 1,md — readiness,"power-off bench READY; complete resolver terminal-fault qualification, target-controlled HV/motor operation and production NOT READY",Not Applicable (position statement),the same gates as this disposition's open list,none
Review 2,html — A19-N01 / F208 closed,"README gate ㉘, QP-RX-04 step 3, the post-trip figures, the RSX description and the control-card CSV all at the 7.0 V-class values",Already Fixed (round 21),—,none
Review 2,html — fixture-setting calculation,"42.623 A at 0.29 Ω, 37.923 A at 0.37 Ω, 37.918 A at 24 V / 0.08 Ω, 37.363 A at 26 V / 0.14 Ω; the PTC resistance is a 23 °C model input",Already Fixed (F199/F203) — reproduces the rows; the cold R is VR-16,—,none
Review 2,html — diversion figures,9.021 / 9.019 / 9.038 V; 34.834 / 34.655 / 36.058 A; 3.844 / 3.843 / 3.851 A; 59.9 µs; 0.97–0.98 mJ in RSX,Already Fixed (F207/F208),—,none
Review 2,html — firmware regression,tree identical; 20 cases / 3 807 assertions at −O2 and ASan/UBSan on the current `sdadc_ring.c` blob `4257356…`,Not Applicable (confirmation),—,none
Review 2,html — open gates,"T-40/41/42, QP-RX-04 step 2 / VR-16, step 2b / QP-MA-11, QP-RX-05 / VR-33, IR-16",Already Fixed (gates exist and are open),—,none
Review 2,"html — ""keep A.20 as the baseline; no further schematic/BOM change""",—,Not Applicable (agreed for the circuit; the handoff is a different matter — F210),—,see the self-found items
Review 3,md — A19-N01 / F208 closed,the three locations agree at 0.37 Ω; the 0.29 Ω mentions are history,Already Fixed (round 21),—,none
Review 3,md — firmware intact,"`src`, `include`, `tests`, `tools`, `docs`, `Makefile` identical; 56 cases / 40 008 assertions rerun at −O2 and under UBSan",Not Applicable (confirmation),—,none
Review 3,md — post-trip and diversion descriptions,2.457 / 2.024 / 1.720 / 1.186 / 0.930 / 0.447 / 0.261 W; 3.84–3.85 A / 59.9 µs / 0.230–0.231 mC,Already Fixed (F208) — reproduces the shared model,—,none
Review 3,md — BOM and identity corrections preserved,SMDJ7.0A-HRA / SMDJ7.0A; 220 Ω / SQP10AJB-220R; T-05/T-06 at 0x0A0F0013,Already Fixed (round 20),—,none
Review 3,md — release position,READY FOR POWER-OFF BENCH TEST; motor operation and production NOT READY,Not Applicable (position statement),—,none
Self-found,F210,Every KiCad symbol carried a bare package code and the sets shipped no footprint library; Update PCB from Schematic could not run; the tscircuit footprints are generic placeholders,"**Confirmed** (a handoff gap, not a circuit defect)","`kicad/traction/README.txt` (A.20): ""no footprint library is shipped""; kicad-cli ERC: 686 `footprint_link_issues`; `packages/cells.tsx` `SmdFP(n)`","`calculations/footprints.mjs` (code → footprint), `kicad-fp-gen.mjs` (the shipped `traction.pretty`: standard patterns copied verbatim from KiCad 10.0.6 with provenance; datasheet-drawn patterns per `MANIFEST.md`), `fp-lib-table` in all three sets and zips, per-board project files, F2 = `traction:<name>`, generator refusal of unbound parts, `kicad-sch-verify` judging footprint links and pads per pin; `docs/layout-handoff.md`"
Self-found,F211,NCV4276C ×5 coded as 3-lead DPAK / D2PAK lands,**Confirmed** by the new proof (symbol pin 5 had no pad),"NCV4276C DS p.1: ""DPAK 5-PIN"", ""D2PAK 5-PIN""; pin 2 INH, tab = pin 3; the pin audit confirms all five symbols",5-lead lands (TO-252-5_TabPin3 / TO-263-5_TabPin3)
