Source,ID,Review statement,Class,Verification,Action / where
Review 1,"A19-N01 (html, reviewer 1)","MINOR — README gate ㉘ (≈ line 742) still says ""35 V double event (IR-16 ≥ 0.29 Ω …)"" while IR-16 states ≥ 0.37 Ω at 35 V; by the cold-current model 42.62 A at 0.29 Ω against 37.92 A at 0.37 Ω; do not configure the fault-test fixture from the stale number",**Confirmed** — and broader than reported,"`README.md` line 742 quoted 0.29 Ω; `docs/qualification-plan.md` QP-RX-04 **step 3** quoted ""≥ 0.29 Ω at 35 V since round 18"" — the fixture instruction itself; `calculations/exciter-fault.mjs` `iCold(35, 0.29)` = 42.6 A, `iCold(35, 0.37)` = 37.9 A","both → 0.37 Ω with round 18's value marked as the 8.5 V-class figure; the gate's ≥ 8 A sweep resistances (0 / 0.09 / 0.5 Ω → 0 / 0.14 / 0.5 / 1.33 Ω, as QP-RX-04 states them) and its trickle figure (1.5–4 W → 0.9–1.7 W at 12.6–16 V; the same figure in IR-42) aligned with the QP; QP §15 item 6's ""≥ 0.27 Ω at 35 V"" bullet given its resolution. **F208**"
Review 1,html — F205 / F206 / F207 closures,"T-05/T-06 at 0x0A0F0013; the control-card CSV keeps SMDJ7.0A-HRA primary with SMDJ7.0A as the prototype-only alternate, the 8.5 V class excluded; both 4XX discharge CSVs carry four 220 Ω primaries and SQP10AJB-220R; the diversion calculation evaluated at the IR-16 allocations",Already Fixed (round 20),"`firmware/docs/target-bringup.md` T-05/T-06; `docs/bom-control-card*.csv` (four variants, one alternate text); `docs/bom-discharge-igbt4.csv`, `docs/bom-discharge-sic4.csv`; verification-report ""Exciter back-drive with VEXD absent""",none
Review 1,html — firmware unchanged,"`firmware/src`, `include`, `tests`, `tools`, `Makefile` identical between A.18 and A.19; the frame-protocol fixture reran at 56 cases / 40 008 assertions at −O2 and under UBSan",Not Applicable (confirmation),`git diff --stat 00f6252 551c405 -- firmware/src firmware/include firmware/tests firmware/tools firmware/Makefile` is empty,none
Review 1,html — discharge calculation,"803 µF, 500 → 60 V, 45 kΩ passive: four 220 Ω 1.470 s (1.697 s at C +10 % / R +5 %); four 470 Ω 3.072 s (3.549 s) — the corrected selection meets the 2 s screening target, the old alternate does not; times exclude detection/enable delay and do not establish pulse capability or stuck-ON containment","Already Fixed (F206) — reproduces the round-20 figures (1.5 / 3.1 s, 3.5 s at the corners)",the F206 register row; QP-DC procedures carry the pulse and stuck-ON items,none
Review 1,html — diversion figures,"24 V / 0.08 Ω: node 9.021 V, DEX 3.844 A, PTC total 34.834 A; 35 V / 0.37 Ω: 9.038 V, 3.851 A, 36.058 A; τ 59.9 µs, Q 0.231 mC — supports ""≈ 3.9 A / 60 µs / 0.23 mC""; calculations, not transient simulations or measurements; cold PTC, nonlinear diode, parasitics, thermal coupling and ULDOEX reverse current stay open",Already Fixed (F207) — reproduces the row,"verification-report ""Exciter back-drive with VEXD absent"": 3.84–3.85 A, 9.02–9.04 V, PTC 34.8 / 36.1 A, τ 60 µs, 0.23 mC; the limitations are the row's own text and QP-RX-05 / VR-33",none
Review 1,html — release position,"READY FOR POWER-OFF BENCH TEST; integrated target-controlled motor operation and production NOT READY; T-40/41/42, terminal-fault clearing and sustained-short tests, ULDOEX reverse power, installation resistance, motor-specific qualification remain",Not Applicable (position statement),matches the A.19 disposition's readiness table and open list,none
Review 2,md — A18-D01 / F205 closed,"primary SMDJ7.0A-HRA unchanged; alternate SMDJ7.0A prototype-only; the 8.5 V configuration explicitly excluded; the four control-card BOM variants share the corrected file hash; Littelfuse's pages give the plain and HRA 7 V parts the same headline electricals, AEC-Q101 on the HRA page only — qualification is not interchangeable; a prototype fitted with the plain grade must record it",Already Fixed (round 20),"`calculations/parts-db.mjs` TVSE rule (alt text names the class and the exclusion); the ERC voltage-class lock (8 checks, four SKUs)","none — the alt text already says ""proto only"""
Review 2,md — F206 closed,primary four 220 Ω; alternate SQP10AJB-220R; both 4XX BOMs corrected; 800 µF bulk-only: 1.464 s (1.691 s at the corners) against 3.061 s (3.535 s) for 470 Ω; the overload/no-flame condition stays attached to the alternate,Already Fixed (F206),"`docs/bom-discharge-igbt4.csv`, `docs/bom-discharge-sic4.csv`; the ERC discharge-alternate lock",none
Review 2,md — firmware ID and trees,"`#define TI_FW_ID 0x0A0F0013u`; T-05/T-06 name it, the previous value marked history; the firmware trees are identical to A.18; the resolver fixture reran at 20 cases / 3 807 assertions (−O2, ASan/UBSan); T-40/41/42 still carry the silicon evidence",Already Fixed (round 20) / gates exist,`firmware/src/app/app.h`; `target-bringup.md` T-05/T-06/T-40…42,none
Review 2,md — diversion figures reproduce,"9.021 V / 34.834 A / 3.844 A at 24 V / 0.08 Ω; 9.038 V / 36.058 A / 3.851 A at 35 V / 0.37 Ω; τ ≈ 59.9 µs; 0.230–0.231 mC; not the cold maximum-PTC-current corner; LDO reverse path, rail loading and PTC thermal dynamics excluded; keep the RSX-limited topology",Already Fixed (F207) — reproduces the row,as review 1,none
