Source,ID,Review statement,Class,Verification,Action / where
Review 1,A8-01,MAJOR — FLT/RDY pull-ups on V5A exceed the NSI6611 rating (≤ VCC1) by 0.2 V at the rail corners; the V5GD-absent state is undefined,"Confirmed (round 8 had listed it as P-03, a bench item — wrong: a bench pass cannot waive an absolute maximum)","NSI6611 DS 1.2: RDY, FLT ≤ VCC1 with no +0.3 V; IN±/RST ≤ VCC1 + 0.3 V. V5A (FS26 LDO2) and V5GD (NCV4276C) can sit 0.2 V apart. Found while fixing it: moving only the four pull-ups leaves RFLTC (V5A) forward-biasing the BAT46 diode-OR into the FLT lines, up to ≈ 68 mV above V5GD.","RFLTP1/2, RRDYP1/2 and RFLTC now pull to V5GD, which reaches the card on harness pin 39. Pin 39 was one of nine DGND pins; its only neighbours are DGND (37) and HW_ID (40), so a short is detected or collapses V5GD; it can never stick a safety line. RV5GP 100 k reads an open pin as V5GD absent. A lost V5GD now reads FLT/RDY low: the latch sets, ASC is masked, the eFlexPWM fault forces PWM low and DRV_EN falls. That is SPO, and every card output into the dead domain is low. At the rail corners the IN/EN inputs sit ≤ VCC1 + 0.2 V, inside their +0.3 V rating. §6 gains a V5GD row, and §9 tells a V5GD loss from a pending DESAT. ERC by net and pin. +₹0.3."
Review 1,A8-02,MODERATE — the 10–15 mA LED window rests on a typical V_F tempco and an inferred LVC output resistance,Improvement Recommended (proof basis); no hardware change,"Correct. Toshiba gives V_F limits at 25 °C and the −1.8 mV/°C tempco as typical. The guaranteed quantities hold with margin even for a pessimistic V_F: I_FLH ≤ 7.5 mA over −40…100 °C, and the 20 mA absolute maximum.","261 Ω kept, as both reviewers advise. The model now applies a ±28 % tempco band at every corner: 10.30 cold / 10.67 hot / 14.99 max mA. The row judges the guaranteed margins first (1.37× over I_FLH, 1.33× under the absolute maximum). The recommended window remains a T7-04 bench item. The LVC load line is labelled as a MOS-triode bound, not a supplier curve."
Review 1,A8-03,"MAJOR — the 0.23 W RFS4 justification covers 16 V only; ""a generic 0603 takes it"" is not evidence",Confirmed,"Reproduced with FS1B asserted at its 22 mA limit: 0.234 / 0.484 / 0.651 W at 16 / 24 / 35 V. If FS1B is never released (MCU never boots, or deep fail-safe) the 16 V case continues. BACKUP_SAFETY_PATH_FS1B = 1 would repeat the pulses through RSTB. A 0.1 W 0603 is 0.08 W at 85 °C.","RFS4 = ROHM ESR03EZPF1001 (alternative: Panasonic ERJ-PA3F1001V), selected and checked by a Sonnet agent against the manufacturer data: • anti-surge, AEC-Q200 (per ROHM's product page); • 0.33 W at 70 °C, so 0.27 W at 85 °C; • short-time overload 2 × U_R for 5 s, ≈ 1.3 W. BACKUP_SAFETY_PATH_FS1B = 0 (FW-12): a short-to-high becomes a DTC, not an MCU-reset loop, and the MCU's §6 control is not interrupted. Computed design-verify row; MPN locked. +₹0.7."
Review 1,A8-G01,CRITICAL gate — short-circuit survival (IGBT 10.1 µs at 100 mA soft-off vs the 6 µs point; SiC unpublished),Already Fixed (tracked release gate),Reproduced; S9 reports WARN.,"Unchanged. The no-HV driver fixture comes first, then contained SC tests. Blanking is not reduced to turn the row green."
Review 1,A8-G02,"CRITICAL gate — ""keep connected"" is a request, not independence; a BMS opening can be dependent; a cold/full pack is a normal condition",Confirmed (the wording) → Firmware Handled (release rule),"Correct: the contract called an early BMS opening a ""double fault"".","New §6 motor/vehicle release rule. A motor is released only if one of these holds: (a) E_LL,pk(n_max) < U_N (SPO energy-safe without the battery); (b) HIL/dyno proves the contactors stay closed through inverter fault recovery for every opening cause, the inverter's own faults included, with charge acceptance down to n_x; (c) for the LV-loss rows, the HV backup-bias option. Zero BOM; no brake chopper by default."
Review 1,Closure register (R7-01…R7-07),accepted at source level; fixture/vendor gates remain,Already Fixed,—,Kept as they are.
Review 2,A8-N01,MAJOR — the BOM orders QA01C-18 (+18/−3 V) but describes and models the QA01C (+20/−4 V),Confirmed (datasheet binding; F61 reopened),"Mornsun QA01C-18 DS 2018.12.11-A/0, p.1: +18/−3 V, ±100 mA. Fig. 1 +18 V envelope: max +9 → +2 %, min 0 → −7 % over 10–100 % load. Line ±1.3 %/%; tempco ±0.03 %/°C. The archived QA01C.pdf is the base part.","Envelope modelled at our 2–8 % loads with V15 ±3 %: 16.9–20.9 V (the max line is extrapolated below 10 %). ASC entry 7.07 → 7.52 µs, and the FW-06 end-point moves 905 → 906 V (8XX; 4XX 542 V), still ≤ 91 % of U_N. Descriptions, EXTRACTED-PARAMS §13, design-basis and contract corrected; MPN locked. Zero BOM; the part is kept."
Review 2,A8-N02,MAJOR — the QDIS gate has no demonstrated upper bound (a 24 V supply gives 23.6 V > +22 V),Confirmed (margin). The 24 V case itself came from A8-N01's wrong sheet.,"With the real envelope the gate saw up to 20.9 V through 47 Ω. That is inside the +22 V absolute maximum but above the +18 V recommended level, and relies on extrapolation below 10 % load.","RQDG 47 Ω → 1.5 kΩ against RQDPD 10 k: V_GS 13.4–18.1 V, 3.9 V under the absolute maximum. 1.5 k × 1.2 nF C_iss ≈ 2 µs, which is irrelevant for a discharge switch. No zener behind 47 Ω (the reviewer's warning). Zero BOM. Bench: V18Q, QDVO and V_GS at start-up, no load and ON."
Review 2,A8-N03,"MAJOR — ""below 60 V"" is not an energy limit for ASC-actuating self-tests",Confirmed → Firmware Handled,Reproduced: 0.62 J (8XX) / 1.54 J (4XX) at 59 V and C_max.,"FW-16 eligibility: • both V_DC channels < 12 V read (≤ 13 V true): ≤ 30 mJ / ≤ 75 mJ, inside a 0.1 J design limit; • a QDIS top-up from ≤ 60 V first (≤ 1.4 s); • n_ss chosen so that E_LL,pk(n_ss) ≤ 13 V; • the precharge handshake kept. Computed rows per bus class. Zero BOM."
Review 2,A7-N01…N05 closure,closed at source/requirement level,Already Fixed,—,Kept.
