Source,ID,Review statement,Class,Verification,Action / where
Review 1,A14-R01 (R03 in the html),"MODERATE — the /33X holds 0.07 A at 85 °C, not the unsuffixed part's 0.09 A the BOM carried",Confirmed,Bourns derating table p.9,corrected in the BOM and EXTRACTED §31 (the full /33X row); judged against 35 mA nominal / 60 mA assumed (WARN: measured with the selected resolver). F170
Review 1,A14-R02,"MAJOR — the back-drive row's 48 µs is one RC time constant, not the end of the pulse; CEXD adds 4.7 µF (26.7 µF); a legal rail voltage is not a diode pulse envelope; the negative fault puts 43 W / 0.9 J into a generic 1206",Confirmed (model interpretation),expressions reduce to R·C; ALM2402 §8.3.6,"exponential model (4.9 A peak, τ 59 µs, 0.19 mJ in the diode, 99 % by 270 µs) marked OPEN pending the measured envelope; TVSEP/TVSEN → SMCJ8.5A (unidirectional) so a negative fault flows through the TVS forward diode (I_FSM 200 A) and the amplifier's lower diode sees < 0.3 A; RSX bound to ERJ-8ENF2R20V with its stress stated (1.5 mJ positive, 0.1 W negative). F168"
Review 1,A14-R03,"MAJOR — the PTC/TVS PASS uses an unallocated 0.5 Ω source, a single 8 A / 20 ms trip point and an 8 J allowance; at 0.1 Ω the current exceeds the PTC's 40 A",Confirmed (unsupported PASS),SMCJ curve ends at 10 ms,"TVS-energy row conditional on the measured clearing time (5.5 J supported at 10 ms), a source-impedance allocation row (≥ 0.27 Ω at 35 V) — both WARN; gate ㉘ text names them. F169"
Review 1,A14-R04,MODERATE — sense_fast() ignores hal_adc_read_phase()'s return and passes an uninitialised timestamp with zero-filled channels to isns_update(),Confirmed,source,"deterministic HAL contract; the caller consumes only complete triplets, otherwise marks the current invalid through the sensor-failure path while V_DC and resolver acquisition keep running; every missing-channel combination tested. F171"
Review 1,A14-R05 (html),MODERATE — the TVS/PTC survival rests on extrapolated clearing and energy allowances,Confirmed,as A14-R03,as above. F169
Review 2,A14-R01,CRITICAL — resolver validity does not expire when new blocks stop (valid after 1 s of silence); the gap check runs only when a later block is consumed,Confirmed,"app.c sense_fast(), resolver.c observer()","per-tick age check of the last accepted coherent frame with a bounded hold (CAL from the angle-error envelope), then angle invalidated and the resolver-invalid safe state dispatched; an empty read alone never faults. F172"
Review 2,A14-R02,CRITICAL — one SIN-DMA heartbeat tags all three SDADC channels fresh; a completion between the reads lets a mixed-generation tuple through,Confirmed,"s32k396_resolver.c, sense_fast()","per-channel completion handshake, one coherent frame (EXC + SIN + COS + epoch) copied atomically with the generation checked across the copy, partial/overrun detection; incoherent frames feed the age policy; host DMA modelled per channel. F173"
Review 2,A14-R03,MAJOR — the phase-current timestamp contract,Confirmed,as review 1 A14-R04,F171
Review 2,A14-N01,"MODERATE — the monitor taps the protected node before the PTC; ""sees what the resolver gets"" is too strong (7.26 vs 7.00 V pp)",Confirmed (wording),—,"planes documented: winding = monitor × 0.964 cold, × 0.875 post-trip; the FW-10 setpoint is defined at the monitor plane; EOL characterises monitor-to-terminal transfer. F167"
Review 2,previous A13-R01/R02,"corrected (topology; contactor loss at any speed, 66 cases pass)",Confirmed closure,—,none
Review 3,A14-R01,MAJOR — the phase-current timestamp contract,Confirmed,—,F171
Review 3,A14-R02,"MAJOR — the reverse-drive PASS is not a survival result (τ = 59.7 µs with 26.7 µF, 2.14 A still flowing at 48 µs, 0.2 mJ); RSX generic; a −24 V fault = 46.5 W in RSX",Confirmed,—,F168 (OPEN row; unidirectional TVS removes the negative-fault current from the amplifier and RSX)
Review 3,A14-R03,MODERATE — the /33X holds 70 mA at 85 °C,Confirmed,—,F170
Review 3,A14-R04,MODERATE — the resolver-terminal minimum is checked only at nominal amplitude: source 6.98 V pp → 6.35 V pp at the winding; the monitor does not see the PTC drop,Confirmed,1.884 × 2 × 1.85 × 0.909 = 6.34 V pp,"MFB feedback 24 k → 28 k (|H| ≈ 2.09): the SWG low corner gives 7.1 V pp at the winding; FW-10 setpoint 7.2 V pp at the monitor needs 1.84 V pp of SWG (≤ 1.884, 3 % headroom) and 1.91 V pk per output (under the −40 °C slew ceiling); the trim ramps up from ≈ 1.5 V pp so the untrimmed maximum never slew-limits; post-trip 6.3 V pp is flagged by FW-10 as intended. F167"
Review 3,A14-R05,MODERATE — the TVS/PTC pulse PASS is conditional,Confirmed,—,F169
Review 3,previous findings,corrected; 47 Ω ballast analytic maximum useful,Confirmed closure,—,none
