Source,ID,Review statement,Class,Verification,Action / where
Review 1,"A18-N01 (html, reviewer 1)","MINOR — `app.h` defines TI_FW_ID 0x0A0F0013 but T-05/T-06 in the target checklist still specify 0x0A0F0012; the validation function rejects a mismatch, so the likely consequence is a validation-station no-arm",Confirmed,"`target-bringup.md` lines 26–27; also the firmware README's round-18 paragraph said ""is 0x0A0F0012"" in the present tense","T-05/T-06 → 0x0A0F0013 (round 19), the round-18 paragraph reworded as history; `make target-check` passes. **F207**"
Review 1,html — FW-35 closure,"the callback-derived origin is gone; 56 cases pass including the 30 + 3 µs boundary (33 accepted / 34 rejected), constant 40 / 60 µs delays never accepted, recovery on the original cadence; T-40/41/42 remain target obligations",Already Fixed (round 19) / gates exist,"agreed; the boundary behaviour is the declared uncertainty, not a hidden shift",none
Review 1,html — 7.0 V TVS and allocations,37.9 / 37.4 / 37.9 A at the IR-16 allocations reproduce; the coupling model is assumed; keep the gates,Already Fixed / agreed,agrees with `exciter-fault.mjs`,none
Review 2,A18-D01 (html),"MODERATE — the primary is SMDJ7.0A-HRA but the alternate still reads ""SMDJ8.5A (same electricals, no AEC-Q101 statement — proto only)""; the 8.5 V part is a different protection configuration (9.44–10.40 V, 14.4 V at 208 A) and cannot inherit the 7.0 V parked-short calculation; add a regression check",Confirmed (mine: the alternate was carried over untouched in round 19),`parts-db.mjs` TVSE row,"alternate → the plain SMDJ7.0A (same electricals as the -HRA, no AEC-Q101 statement, proto only), the 8.5 V class named as excluded from the A.18 qualification; ERC lock: the exciter TVS alternate must name the primary's voltage class (per SKU; 4 rows). **F205**"
Review 2,A18-N01 (html),MINOR — parts of the A.18 disposition retain the interim 0.09 / 0.33 / 0.25 Ω allocations; inherited comments retain 8.5 V-era clamp figures,Confirmed — and broader than stated,"the A18 disposition's first-review row; the card comments (10.4–11.5 V clamp, 4.8 A / 0.28 mC); the README gate (4.7 A); design-basis §11r values; the F199 register text; QP-RX-04's clamp prediction (10.7 V / 15.6 A) and QP-RX-05's envelope (5.0 A, 11.0–11.6 V, 1.5 mJ); the verifier's back-drive row evaluated at 0 / 0.29 Ω","every figure re-derived from the shared model at the IR-16 allocations (≈ 3.9 A / 60 µs / 0.23 mC, node ≈ 9.0 V, clamp ≤ 9.1 V at 40 A; PTC totals 34.8 / 36.1 A in the back-drive row) with the 8.5 V-class values marked historical. **F207**"
Review 2,html — remaining gates,"keep QP-RX-04 step 2 / 2b, QP-RX-05 / VR-33 open; the 24 V allocation needs the OEM's statement; no series resistor automatically",agreed,—,none
Review 3,A18-R01 (md),"MODERATE — as A18-D01, with the comparative trickle 1.72 W (7.0 V) vs 3.78 W (8.5 V) at 12.6 V",Confirmed,as above,as F205
Review 3,A18-R02 (md),"MODERATE (4XX) — the BUS_4XX RDIS row (four 220 Ω, SQP10-220RJB15) carries the alternate ""Yageo SQP10AJB-470R""; four 470 Ω would take 3.07 s to 60 V (3.55 s at +5 % / +10 %) against the 2 s target; not introduced by A.18",Confirmed (an earlier copy of the 8XX alternate),`parts-db.mjs` line 34 (the description already named the 220 Ω Yageo part; only the `alt` field was wrong); the primary is correct and its discharge row passes,alternate → Yageo SQP10AJB-220R under the same no-flame condition (VR-28); ERC lock: a discharge-resistor alternate must carry the row's value (the 8XX row's value read from its MPN); both 4XX BOMs regenerated. **F206**
Review 3,A18-N01 (md),MINOR — as Review 2,Confirmed,as above,as F207
Review 3,md — thermal coupling,"the `coupledTj()` parameters are assumptions; keep QP-RX-04 step 2b, the cold PTC resistance (VR-16 c) and QP-RX-05 / VR-33 open",agreed,—,none
