Source,ID,Review statement,Class,Verification,Action / where
Review 1,A16-R01 (html),MAJOR — the current ISR saves now_us before sense_fast(); the HAL stamps completed reads with a later timer value; isns_update() subtracts unsigned → fresh samples declared stale (age 4 294 967 295 µs); same pattern in the VDC path; test phase and VDC together across timer rollover,Confirmed (target only),"`app.c` 423/427, `s32k396_adc.c` 171/90 (hal_time_us() after the ISR entry), `ti_types.h` 53 (unsigned); the host stamps with the frozen sim clock (`sim_hal.c` 452/464), so the suite could not see it; `rslv_age()` has the same shape for a completion that preempts the ISR","**FW-34**: check-time read after the acquisition reads (ISR-entry time kept for WCET/liveness), a signed-safe freshness helper for sensor stamps, a host knob that advances the sim clock inside each HAL read; phase + VDC + resolver tests across the 32-bit wrap. **F196**"
Review 1,A16-R02 (html),MAJOR — the new diversion bypasses its assumed limiter: connector → PTC → VREX_PX → DEXP → VEXD; RSXP is on the other branch; the 2.2 Ω × 26.7 µF model is not this loop; 62 A at zero external resistance (57.8 / 50.4 / 45.5 A with 0.1 / 0.5 / 1 µH); the PTC's I_max is 40 A; the PMEG 70 A is an 8.3 ms half-sine at 25 °C; candidate: move each anode to the amplifier side of RSX,Confirmed,"`control-card.tsx` 605–608 (DEX anode on VREX_PX, FEXP on the same node), `design-verify.mjs` 689 (`iRev0 = vFin / 2.2`); the cross-check reproduced 27–67 A at 24 V and 39–99 A at 35 V as drawn, TVS dark at t = 0⁺, and 4.6–5.0 A / 60 µs after the move","anodes moved to VREX_P/VREX_N (in parallel with the ALM2402 upper diode; zero parts); ERC lock + graph cut (no DEX on the protected node; mutation-tested); the back-drive row is the coupled TVS + diversion solve (PTC 37 A at 24 V/0 Ω), judged by I²t; card comments, parts-db, QP-RX-05, README ㉘ aligned. **F191**"
Review 1,A16-R03 (html),"The NCV4276C 40 V output limit is not a reverse-power specification; establish output/input/ground currents, inhibit behaviour, loads; keep a supplier/bench gate; a blocking path only if the results justify one","Confirmed (evidence gap, no hardware change)","`NCV4276C.pdf` maximum ratings: V_Q −1…40 V beside V_I ≥ V_Q + 0.5 V; the ""−42 V reverse"" feature is reverse-input protection with the output near 0 V (Figs 15/16/24); nothing on OUT > IN or a back-driven inhibited output","the claim withdrawn from the row, the card and the plan; QP-RX-05 a RELEASE GATE again (reverse current into OUT in the three input states, SMU sweep, 100 pulses + parametrics); **VR-33** to onsemi; the consequence if it conducts (1.3–1.6 A DC through RSX) stated; a blocking element only on a failed gate. **F192**"
Review 1,A16-R04 (html),"A larger TVS does not establish every clearing corner: the 20 ms maximum is at 8 A / 23 °C; at 5 Ω the current is ≈ 2.7 A; qualify cold, hot, post-trip and source-limited cases against temperature- and waveform-appropriate limits; do not insist on a larger TVS",Confirmed (over-claimed PASS),"MF-MSMF sheet: the only maximum is 0.02 s at 8 A; below it the trip time is a typical curve (p.8 curve C for the /33X — p.7 is the unsuffixed 30 V part); SMDJ Fig. 2 is an exponential pulse (≈ 5.3 J rectangular-equivalent at 85 °C, not 9 J); T_J max 150 °C; R_thJL 15 / R_thJA 75 K/W","rows recomputed at their worst corners: the bounded region PASS (1.7 J at the 8 A point; the ISO 16750-2 direct short inside it), the sub-8 A window and the ECU-asleep trickle as computed WARN rows, the 35 V TVS energy back to the double event, IR-16 → 0.05 / 0.29 / 0.22 Ω; closure: dfm.md layout rule (TVS island + PTC coupling), QP-RX-04 step 2b sweep (release gate), IR-42, VR-17 needed again; no part change. **F193**"
Review 1,html — amplitude/hold remarks,60 Ω → 42.43 mA rms vs the 41/42 mA rounding; |H(10 kHz)| 2.076 with the coupling capacitor; 1.917–2.243 over 1 % R / 10 % C; 6.47 V pp at the low corner and 60 Ω; do not automatically raise the feedback resistor,Improvement Recommended (documentation; no hardware change),"cross-check §4: nominal 2.0761 confirmed; the bound parts are ±5 % C0G (parts-db), so the design band is 1.98–2.18 and QP-RX-01's ""1.94–2.2 (±10 %)"" was wrong both ways; the round-17 hold expression added 2.6 Ω of PTC not on the sheet; the five-corner stack at 60 Ω is 6.48 V pp — the trim saturates, DTC, no arm (an EOL rejection)","gain row over the bound tolerances + the ±10 % build band; QP-RX-01 band 1.98–2.18; hold current 41.9 mA at the setpoint, 48.3 mA at the CAL ceiling (69 % of the hot hold); planes at the sheet's 0.35 / 5.0 Ω; the stack recorded as INFO with REXA4 30.1 k named as the free margin lever (not applied: a 0.3 % shortfall at the coincidence of five tolerances, caught at EOL). **F195**"
Review 1,html — LV architecture / broader claims,"The pin-side anti-series pair, CLVC3, fuse strategy and central-suppression assumption are implemented; the full transient matrix, waveforms, corners and consumer-KiCad connectivity were not rerun by the review",Already Fixed (round 17) / gates exist,"`control-card.tsx` 235–237, `erc-audit.mjs` 620–667, QP-LV procedures, IR-02/03/34…41; the KiCad-10 netlist proof runs in `npm run sheets` (PASS again this round: 686 components / 434 nets)",none
Review 1,html — readiness,"Power-off bench READY; motor operation, freeze, HV dyno, DVT NOT READY until the diversion path and the gates","Confirmed as of A.16; see ""Readiness"" below for A.17",—,—
Review 2,A16-R01 (md),"MAJOR — `Smd2FP()` assigns pin1 = anode; Nexperia PMEG4050EP-Q Table 2 says 1 = K, 2 = A; the legacy D symbol puts pin 1 on the left with VREX_PX; a manufacturer-numbered footprint reverses DEXP/DEXN; fix locally, do not reverse the global convention without auditing every diode",Confirmed — and systemic,"`cells.tsx` 20; `circuit.json`: every `<diode>` carries pin 1 = anode (35 instances on four boards); PMEG4050EP-Q.pdf Table 2 ""1 K cathode, 2 A anode""; the Sonnet audit of all 15 bound MPNs: every manufacturer that numbers its terminals (Nexperia, Vishay 1N4148WS) puts the cathode on pin 1, the others mark a band only; KiCad `Device:D` (""Sim.Pins 1=K 2=A"") and every `Diode_SMD` footprint pad 1 = K; IPC-7351C pin 1 = cathode","the audit the review asked for was done and the GLOBAL fix taken (a per-part symbol would have left 33 diodes reversed against KiCad's footprints): the shared `Diode` cell numbers pin 1 = cathode, pin 2 = anode with the port names unchanged; ERC lock on every board (mutation: a swapped DEXP fails); the legacy `D_21` variant (already used by the TVS chips) now carries every diode; KiCad-10 netlist proof PASS; two datasheets archived (TPSMC-VR, Nexperia BZT52). **F190**"
Review 2,A16-R02 (md),MAJOR — the new charging diode bypasses RSX but its proof uses RSX; 44–67 A initial-current screens; the PMEG 70 A is conditional; candidate: DEX anode to VREX_P/N,Confirmed,as html R02,as html R02. **F191**
Review 2,A16-R03 (md),"MAJOR — 20 ms clearing applied beyond its supporting conditions (15.65 A at 0.5 Ω, 5.74 A at 2 Ω, 1.31 A at 10 Ω, 2.46 A post-trip); restore a release qualification condition; a larger TVS is not a substitute",Confirmed,as html R04,as html R04. **F193**
