Source,ID,Review statement,Class,Verification,Action / where
Review 1,R7-01,"CRITICAL — after a DESAT during PWM-ASC, FW-15 drops IN and the fault latch drops EN, removing the conditions under which DESAT is credited, while the ASC latch stays set; ""SPO"" is not reached",Confirmed (contract contradiction). The silicon half is resolved by the DS.,"NSI6611 DS 1.2 Fig. 8.11: with ASC high, a DESAT soft-turns the gate off, FLT latches, and the gate stays off when IN goes low and through an RST/EN low pulse. It returns only at the RST/EN rising edge after the mute time, and then follows ASC. §8.10 / Fig. 8.8: resets during the 0.55–1.3 ms mute time are ignored; release comes at a reset rising edge after it. §9.4 words it as a ≥ t_FLT_MUTE hold, and FW-15 satisfies both readings. So the faulted switch cannot re-assert on PWM-low or EN-low. The real gap: the healthy low sides stay on via ASC (no SPO), and a reset edge with the latch still set re-energises the faulted one.","UASCG = 74LVC1G08-Q100: ASC_CMD = ASC latch AND no-FLT. Any latched driver fault masks ASC in ≤ 0.01 µs; the pins release ≤ 0.75 µs later. This works on every path, FS1B-ASC included, so a causally related reset after a DESAT cannot bring ASC back. FW-15 always clears the ASC latch before the recovery; ASC returns only through §4c (cross-check R8X-01). The transition table is in firmware-contract §4c. ₹5.6."
Review 1,R7-02,"MAJOR — FLT_CMB_N (5.1 k ∥ 10 k, 100 pF) still reaches the ULAT2 preset at 111–135 ns/V vs 10 ns/V",Confirmed (ROC),"Reproduced. The Nexperia -Q100 flip-flop is 10 ns/V despite its ""Schmitt action"" text. The release is logically benign (it happens while CLR is low), but it is outside the datasheet.","USCH2 = 74LVC3G17-Q100, channel 1: FLT_CMB_N → ULAT2 /PRE and the ASC gate. The same buffer takes the other latch preset (ASC_SET_N, channel 2). Found while doing it: with 1N4148 combining diodes the FLT diode-OR low level reaches ≈1.0 V cold, right at the Schmitt V_T− minimum; DFLT1/2 are now BAT46 (0.75 V worst)."
Review 1,R7-03,MAJOR — the discharge TLP152 still has 470 Ω from the MCU pin (6.4–6.8 mA vs 7.5 mA I_FLH max),Confirmed,"Reproduced. It is the same defect as round-7 N10 on the other opto, missed then.","USCH2 channel 3 drives QDIS_CMD (the MCU pin only sees a CMOS input; RQDM 10 k keeps it off through reset). RQDL 261 Ω 1 % (270 Ω first; the cross-check showed 9.9 mA at the consistent cold corner, R8X-04). Both LEDs are computed from the guaranteed LVC V_OH points (−32 mA at 4.5 V: ≥ 3.8 V to 85 °C, ≥ 3.4 V to 125 °C, as linear R_out ≤ 21.9 / 34.4 Ω) at temperature-consistent corners: 10.29 mA cold · 10.80 mA hot · 14.84 mA max, inside the 10–15 mA recommended I_F (7.5 mA I_FLH). V_F comes from the 25 °C table and the −1.8 mV/°C tempco; the TLP152 DS has no V_F curve."
Review 1,R7-04,"MAJOR — the FW-16 boot test is masked: with gate power off, RDY holds DRV_EN low, so FS0B/UAND1 stuck-high faults pass; a single low reading cannot detect stuck-low",Confirmed (diagnostic claim) → Firmware Handled,Reproduced.,"FW-16 rewritten: gate power up, PWM held low, and — after the cross-check (R8X-02) — measured no-HV and standstill conditions, with a VCU precharge handshake and a stored-pass rule when it cannot run. Each term is tested with every other term permissive, in both polarities (FS0B by SPI request, MCU_GATE_EN, RDY_HS and RDY_LS with FS_GPIO1 low, the FS_GPIO1 OR input, the ASC latch set/clear). Step h injects FLT from the MCU pins, so the FLT → latch and FLT → ASC-gate paths are now covered in the field too (R8X-03/17). Zero BOM."
Review 1,R7-05,CRITICAL — SC protection qualification still open (IGBT 10.1 µs at 100 mA vs 6 µs; SiC unpublished),Already Fixed (tracked release gate),The checker already reports WARN at both corners.,"Unchanged gate. Fig. 8.11 now documents DESAT during ASC (EN high, IN+ high), and the contained SC test includes the ASC-held case."
Review 1,R7-06,CRITICAL — during the ≥ 1.5 ms driver reset after an HS DESAT at speed the bridge is SPO; SPO must be energy-safe for the whole wait (32.8 J / 149 µs at 220 kW to U_N),Firmware Handled + motor/pack gate,"The arithmetic reproduces. The reviewer also notes that it assumes rated power continues, which it does not with the motor at SPO and a battery present.","FW-08b: after any DESAT at n ≥ n_x, the inverter asks the VCU/BMS to keep HV connected until ASC is back or n < n_x. §6 states the commissioning check (E_LL, L_d, n_max against the link energy). A battery lost inside the window is a double fault. No brake chopper by default."
Review 1,R7-07,"MODERATE — S4 calls a 0.8 s junction pole ""conservative""; a slower pole rises less early",Confirmed (model claim),Right: it is not a bound for short pulses. The 30 s end point was barely affected.,"S4 now treats junction-case and case-plate as static resistances. Since Zth(t) ≤ Rth at all times, that bounds the junction for a given plate temperature; only the (assumed, test-gated) coldplate mass is dynamic. The 30 s peak rises about 3 °C: 125 / 132 / 125 / 133 °C, all still inside Tvjop/Tj max. The cross-check (R8X-11) noted the plate pole carries the same objection, so the static-plate bound is reported too: 135 / 142 / 133 / 143 °C, under every limit for any plate τ; 8XX IGBT is a WARN (95 % of 150 °C) until the thermal test."
Review 2,A7-N01,= R7-01,Confirmed,See R7-01.,UASCG mask + FW-15 ASC-latch clear + the §4c transition table.
Review 2,A7-N02,= R7-04,Confirmed → Firmware Handled,See R7-04.,FW-16 sensitized.
Review 2,A7-N03,"MAJOR — the 270 Ω ASC LED current rests on an assumed 0.24 V output drop, not a guaranteed corner","Confirmed (proof gap), no defect in the part value","The Nexperia guarantee is V_OH ≥ 3.4 V at 4.5 V/−32 mA/125 °C. A MOS output in triode drops less than linearly below that current, so R_out ≤ 34 Ω is a valid bound (the reviewer's 5.87 mA applied the 32 mA point to an 11 mA load). With V5A ≥ 4.9 V and V_F 1.95 V cold, I_F ≥ 9.6 mA.",The row is re-derived from the guaranteed points. The driver is now UASCG (same LVC output). After the cross-check the value is 261 Ω (see R7-03). The ASC-entry budget uses t_pLH 0.25 µs at the low-current corner (7.07 µs entry).
Review 2,A7-N04,MAJOR — DSET clamps a FAULT_OUT battery short into V5A (5.7–10 mA); sleep/off behaviour unproven,"Confirmed, fixed at no cost rather than tested","With V5A off, the round-7 path (DSET + RENP2) could inject ≈8 mA into the rail. The FS26 does actively discharge a disabled LDO (R_DCHG 20–60 Ω, Table 124), which would have held it below 0.5 V, but no reverse-current rating is given, so the path is removed instead of argued.","ZSET to ground replaces DSET — a BZT52-B5V6 after the cross-check (R8X-05: a C5V6 reached 6.62 V at a 35 V load dump, 125 °C). RENP2 removed: FS1B is pulled up through the RFS1/RFS2 strap (11 k to V5A), still inside the FS26 read-back thresholds. Injection into V5A: ≤ 0.14 mA with V5A up, ≤ 0.63 mA with it off. FS1B load drops to 0.84 mA. Net −₹0.8."
Review 2,A7-N05,MODERATE — bom-gen writes per-board CSVs before the semantic checks,Confirmed,Code order confirmed.,Everything is rendered in memory; nothing is written unless the whole set validates; each file is written via temp + rename. Mutation test: a forced value mismatch exits 1 and every previous output stays byte-identical.
Review 2,Note,"Header(10,2) is a 2.54 mm through-hole placeholder, not the 1.27 mm SMT Samtec pattern",Already Fixed (tracked),"All connector and IC footprints are layout-stage placeholders. The generic helper is used for JVEH, JIC and JLEM too.","Bound at layout, with the MCU pin binding (A6-R12). No schematic change."
Review 2,Note,Some text still quotes the 61–230 µs one-shot,Confirmed (doc drift),—,Synchronised to 72–210 µs everywhere.
Review 2,Note,The 100 Ω FB-sense resistor adds ~30 mV to the reflected rail,Improvement Recommended,Correct.,"Included in the VCC2 model, per corner after the cross-check (R8X-16): conduction 100 / 50 / 20 %, VCC2 13.57–16.89 V. No hardware change."
Cross-check,R8X-01,"MAJOR — FW-15 step 2 ""clear the ASC latch unless §6 wants ASC"" contradicts §4c and §6",Confirmed (contract),"DS 1.2 §8.12 lists DESAT over ASC only with EN 1, IN+ 1, IN− 0. With the latch left set, UASCG unmasks at the step-3 reset edge while the eFlexPWM still forces IN low: the low sides come on through ASC with IN+ low, a state with no documented DESAT.","FW-15 always clears the latch; ASC is re-entered only through §4c after step 4 (FFLAG clear, PWM-ASC, ASC_REQ); step 4 checks ASC_CMD_RB 0. Zero BOM."
Cross-check,R8X-02,"MAJOR — FW-16 step a (FS1B-ASC, EN low) is gated by sequence position, not measurement; nothing says what happens when FW-16 cannot run",Confirmed (contract) → Firmware Handled,"§9 also runs after an MCU reset, normally with the contactors closed. With HV present, a latent HS short plus step a's EN-low ASC is a shoot-through the test itself causes. After a reset at speed, FW-16 was simply undefined.","Measured conditions (both V_DC valid and < 60 V, VCU contactors open, |n| < n_ss); the VCU precharges only after ""self-test done""; otherwise skip and arm on a stored pass from this or the previous key cycle, else no arming. FW-12 names the deliberate ASC states of FW-16: a (EN low), f (EN high, IN+ low), h (both). Zero BOM."
Cross-check,R8X-03,MAJOR — FW-16 d/e cannot drop RDY while FS_GPIO1 holds the flyback OR high; the FS_GPIO1 input is never tested; step a assumes FS1B_TDELAY = 0,Confirmed (contract) → Firmware Handled,"UOR1/2 = MCU OR FS_GPIO1, and §9 step 6 raises FS_GPIO1 before FW-16: a false fail at every boot. FS26 Table 96: TDELAY 00000 = ""asserted with FS0B""; FS1B_FS0B_EN_OTP defaults to the delayed-assertion mode.","d/e set FS_GPIO1 low over SPI; new step g holds FS_GPIO1 high with both MCU enables low (RDY must stay up). FW-12: FS1B_TDELAY = 0 required, FS1B_TDUR = 100 ms. Zero BOM."
Cross-check,R8X-04,"MINOR — LED current 9.6–10.0 mA, under the TLP152's 10 mA recommended I_F; the model mixes temperatures and omits loads",Confirmed,Reproduced. The model paired R_out at 125 °C with V_F at −40 °C and ignored the far-end 10 k. At a consistent cold corner the current is 9.9–10.0 mA.,"RASCL = RQDL = 261 Ω 1 % (same price): 10.29 cold / 10.80 hot / 14.84 max mA, inside 10–15 mA. The model is now temperature-consistent and judged on both limits; the stale ""≥ 10 mA"" texts and the ERC value lock are updated."
Cross-check,R8X-05,"MINOR — ZSET ""≤ 6.0 V"" holds only at 25 °C/5 mA; hot at a 35 V pulse it reaches ≈ 6.6 V, over the USCH2 6.5 V V_I abs max. Suggested C5V1",Confirmed (bound); fixed differently,"Nexperia C5V6: 5.2–6.0 V at 5 mA, S_Z ≤ +2.5 mV/K, r_dif ≤ 40 Ω. That gives 6.24 / 6.40 / 6.62 V at 16 / 24 / 35 V and 125 °C: a single wire fault plus a specified ISO 16750 transient. C5V1 rejected: 4.8 V min at 5 mA, 480 Ω at 1 mA, S_Z down to −2.7 mV/K. Through RFS2 its soft knee can sag the released ASC_SET_N toward the 3.55 V V_T+ maximum, a new risk on every boot.","BZT52-B5V6 (±2 %, 5.49–5.71 V): 5.96 / 6.12 / 6.33 V (Vishay alt ≤ 6.43 V). Released level unchanged. Now a computed design-verify row. +₹0.2."
Cross-check,R8X-06,MINOR — USCH2 has no defined dead state (USCH got RSCH in round 7),Confirmed,"LVC outputs are Hi-Z when unpowered (IOFF). A dead USCH2 floated FLT_CMB_B, which drives the latch preset and the ASC mask. FW-16 passes with it floating high, so the latch and mask are lost silently.","RFCB 100 k FLT_CMB_B → DGND: a dead USCH2 reads as a latched FLT (SPO, ASC masked) and fails FW-16 step b. The suggested ASC_SET_B pull-up is not needed: the dead package is already covered through the mask, and an open 2Y pin fails FW-16 a or b in either polarity. ₹0.3."
Cross-check,N16,(found while fixing R8X-06) A dead ULAT floats the UASCG input,Confirmed,"Round 8 put the latch behind UASCG but left RASCP on ASC_CMD. A Hi-Z ULAT then floats UASCG.A, giving a spurious or a lost ASC; before round 8, RASCP held the latch output itself.",RASCP moved to ASC_Q at zero cost. ASC_CMD keeps its default-off RPD8 on the power board (ERC-locked).
