Source,ID,Review statement,Class,Verification,Action / where
Review 1,A17-R01 (md),"MODERATE — IR-16 allows ≥ 0.05 Ω at ≤ 26 V but the current check is hard-coded at 24 V; 26 V / 0.05 Ω gives 41.58 A (40.6 A even at the 25 °C V_BR,min) against the 40 A I_max; 35 V / 0.29 Ω gives 40.07 A (a downward rounding); avalanche-only minima 0.066 / 0.291 Ω; parameterise by voltage, do not round safety minima down, align IR-16",Confirmed,"`design-verify.mjs` `const i24 = (rExt, vb, rd) => (24 − vb)/…` (round 18, mine); the shared module reproduces 41.58 A at 26 V / 0.05 Ω","PTC row evaluated at 16 / 24 / 26 V (and 35 V) with `EX.rExtMin(v)` at 38 A (the verifier's 5 % margin), rounded UP: IR-16 → **0.09 Ω at ≤ 26 V, 0.33 Ω at 35 V, 0.25 Ω negative** (bare 40 A thresholds 0.017 / 0.066 / 0.291 / 0.22 Ω stated beside them); QP-RX-04 step 2 runs 16 / 24 / 26 V. **F199**"
Review 1,A17-R02 (md/html),"MAJOR/MODERATE — the ≥ 8 A energy PASS (1.69 J) assumes trip time falls at least as fast as I⁻² above 8 A; the sheet gives one maximum (8 A / 20 ms) and a typical curve; 20 A × 20 ms = 4.3 J, 40 A × 20 ms = 8.9 J; keep I⁻² as an explicit assumption, make the region conditional, measure ∫v·i",Confirmed (over-claimed PASS),"the sheet (p.1 row: 0.02 s at 8 A; p.8 ""typical""); the local exponent of the typical curve is 1.7–1.8 near 8 A — energy still falls with current, but nothing above 8 A is guaranteed","row → **WARN** with the assumption explicit (the 8 A max/typ ratio 3.8× carried up the typical curve: 0.5 J at 40 A; the full-20 ms sensitivity printed beside it); QP-RX-04 step 2 is a RELEASE CRITERION (trip ≤ 20 ms and ∫v·i ≤ 5.3 J at 0 / 0.09 / 0.5 Ω, cold / hot / post-trip); VR-16 asks Bourns for the maximum envelope above 8 A vs temperature and R_min at −40 °C. **F200**"
Review 1,md/html — prior dispositions,"pin numbering, the RSX path, the LDO gate and the sustained-short WARN rows are correct and must be kept; the 42.43 / 48.91 mA hold arithmetic without PTC credit supports the part",Already Fixed (round 18) / agreed,—,none (the hold row credits R_min: 41.9 / 48.3 mA — same conclusion)
Review 1,md/html — readiness,"power-off bench READY; target routing, terminal-fault qualification, HV and production NOT READY",agreed,the IMCR placeholders are a deliberate build error (FW-24),"see ""Readiness"""
Review 2,A17-R01 (html),"MAJOR — the first completion callback creates the timing origin (`t_org = now_us − period`), so an 80 µs-late first anchor is accepted with an 80 µs stamp bias (19.2° at 10 000 rpm / 4 pp) and a re-acquisition absorbs a latency that was just rejected; anchor to an independent hardware event, keep frames untrusted until the absolute phase is established",Confirmed,"`sdadc_ring.c` 147–150 and `resync()`; `s32k_sdadc_dma_irq()` stamps with `hal_time_us()` at execution; the round-18 agent's own ""anchor residual"" note","**FW-35 rewritten**: the origin is the SWG start instant on the STM timer (the SDADC blocks are triggered by the SWG period start), anchored by `hal_swg_start()` with a declared uncertainty (the enable-write bracket + `cal_swg_start_lat_us`); the ring never anchors itself; every completion — the first, and every one after a resync — is judged against the absolute cadence; resync derives the block in progress from the clock and checks each DMA slot against it (a mismatch is `lost`); on ambiguity a synchronized producer restart (`hal_sdadc_restart()`, ≤ `cal_rslv_restart_max` per key cycle, DTC counted). As built: k_org = 1 (the ring counts a block after it completes); every completion is checked against the absolute cadence in 64-bit time with the 3 µs uncertainty added to both sides of the allowance (first channel [−u, 30 µs + u] of its block's end, the others [−u, 50 µs + u]); early completions break the ring too (a case the agent found: an early completion moved the old origin onto itself); resync derives the count from the clock and uses the DMA positions only to confirm it (a looser rule than ""every slot equals the index"" so a legitimately late channel is not declared lost; a channel one period behind is caught within two periods); `hal_sdadc_init()` takes the start latency and stops the SWG; the 1 ms task restarts at most 3 times per key cycle (the count survives an MCU reset inside the cycle). Pre-fix reproduction: a first callback 29–800 µs late stamped its block with the full latency and the ring stayed unbroken; a constant 40 / 60 µs delay published 50 of 50 frames too new; after a break the same delay was absorbed (49 frames too new, the FOC angle 5.3° el behind the rotor at 10 000 rpm); a 5-period stall of all DMAs re-acquired with counts disagreeing with the clock. Residuals: T-40 (the deadline now counts from the carrier boundary and includes the SDADC output latency — margin to confirm), T-41 (error flags → lost), T-42 (start latency; SGEN STAT flags not wired to lost, their meaning undocumented); a rare unnecessary restart from a late-DMA channel whose interrupt is held off ≈ one period (bounded per key cycle); a restart at speed latches the resolver-invalid row (FW-28), as the frozen-channel case did in round 18. **F201**"
Review 2,html — diversion transients,six reduced-order transients confirm the corrected path (37 A PTC / 4.5 A diversion at 24 V / 0 Ω; 1.5 mJ in RSX),Already Fixed (round 18),agrees with the round-18 cross-check,none
Review 2,html — A17-R02,as Review 1,Confirmed,—,as F200
Review 3,A17-R01 (csv),"MAJOR — the first origin is callback time minus a period; a block whose callbacks run 800 µs late is published with a fresh stamp (actual age 800 µs, reported 100 µs); a constant 40 / 60 µs delay passes the 30 µs limit over 39 frames; the resync from equal modulo-4 slots does not establish phase (a paused channel resuming 30 µs out of phase is accepted unless `lost` is set)",Confirmed,as Review 2; the slot-equality resync in `resync()`,"as F201: the clock-derived block index with the per-channel slot check replaces the slot-equality inference; the platform contract that the SDADC/DMA error, overrun and trigger-miss flags set `lost` is written down (T-41) — a channel cannot resume out of phase silently on the target; the sim tests the case with `lost` unset and expects the slot/clock check to catch a lap, and a restart otherwise"
Review 3,"csv — latency sign, freshness",the corrected sign passes 40 physical-time cases; the freshness helper passes 18,Already Fixed (round 18),—,none
Round 19 own,self / xcheck19 / Marine,"The round-18 window row printed ""unprotected ≈ 1–200 Ω"" for every voltage: its criterion OR-ed ""energy over the allowance"" with ""power over the steady state"", so a 0.5 Ω fault at 167 W for 1.8 ms counted as unprotected","Confirmed (self-found, mine)",this round,"criterion corrected in the shared module — energy where the PTC trips, steady-state power where it never does — 14–83 Ω at 24 V, 6–34 Ω at 16 V, 16–95 Ω at 26 V, as the round-18 cross-check had computed. **F202**"
