Source,ID,Review statement,Class,Verification,Action / where
Review 1,R1-F01,CRITICAL — the SPO release rule (back-EMF below the cap rating) omits the energy stored in the motor inductances; their 300 µH / 20 mΩ ODE ends at 1038 V (8XX) / 667 V (4XX),Confirmed (contract),Reproduced: 1.5·L·I² with the S6 screening motor (0.35 mH) is 61 J at 340 A rms; the 8XX headroom ½·C_min·(1000² − 850²) is 40.3 J. The back-EMF work during the decay adds to it. The A.9 rule (a) was written for the rectified-voltage question only.,"§6 rule (a) now requires ½·C_min·(U_N² − V_max²) ≥ W_mag + W_emf from the dq model at the worst angle, with W_mag = ¾(L_d i_d² + L_q i_q²). Computed row (WARN): the 8XX bank covers the screening motor to 277 A rms; above that the motor is released under rule (b). No chopper, no capacitor. F123"
Review 1,R1-F02,"MAJOR — ""BMS charge limit 0"" is conflated with ""contactor open"" in §6; a connected pack with zero regen permission needs zero-torque field weakening, not ASC",Confirmed (documentation),"The row read ""Battery contactor opens / BMS limit 0 → LS-ASC"". With the pack connected it is a voltage source; ASC would brake for nothing.","Row split: battery path lost → LS-ASC (unchanged); BMS limit 0 with the pack connected → the healthy-row behaviour (zero torque, current control kept), FW-06 armed as the backstop. FW-08 reworded. F134"
Review 1,R1-F03,MAJOR — the claimed Hall open-wire pull-down is absent from HallChain,Confirmed,"README and design-basis L4 claimed ""pull-downs give implausible zero"" since A.4; the cell had none. An open OUT wire left the 3.3 nF input holding its last value.","R⟨ph⟩B0 100 k to AGND at each card input: an open wire or dead sensor reads 0 V, outside the HC5FW 0.2–4.8 V output range, now the FW-05 validity window. RL ≥ 10 k per DS. ERC lock. +₹0.9. F126"
Review 1,R1-F04,"MAJOR — the HC5FW is not a 3-pin device: 1 V_ref, 2 V_out, 3 Gnd, 4 U_C + grounded E terminals; the carrier drawing is not released",Confirmed (schematic),"LEM DS p.2 drawing and schematic: terminals 1 V_ref (output, ""not connected""), 2 V_out, 3 Gnd, 4 U_C, E1–E4 mass pins; ""connector type: none"" — a PCB-mount THT device. Our symbol had VCC on pin 1.","8-terminal symbol by DS number (V_ref open, E1–E4 to AGND); the off-board carrier drawing now derives from it. ERC by terminal number. Zero BOM. F127"
Review 1,R1-F05,MODERATE — ALM2402QPWPRQ1 is 14-pin PWP; the BOM says HTSSOP16,Confirmed (documentation),TI pin table: PWP = 14-pin HTSSOP PowerPAD; the symbol was already 14 pins.,Footprint HTSSOP14-PWP; ERC asserts the BOM package against the symbol. F131
Review 1,R1-F06,"CRITICAL — IGBT SC clearing has no closed bound; BOM text says ""inside 6 µs"" while variants.md says 10.1 µs; the 6 µs rating is at 800 V not 850 V",Already Fixed (tracked gate RR04/③) + Confirmed (stale text),"The blanking-cap description still carried the A.6 ""3.1 µs … inside the 6 µs SC rating"" claim that round 7 had superseded (4.8 / 10.1 µs).",Text corrected; the gate now also asks hiitio for the SC statement at 850 V and the 16.7 V gate-rail corner (computed WARN row). F134
Review 1,R1-F07,CRITICAL — the SiC module has no published SC withstand envelope,Already Fixed (tracked gate ③: hiitio SC letter + contained tests),Correct; the S9 row already reports WARN for it.,Unchanged.
Review 1,R1-F08,CRITICAL — ASC is unavailable for several LV/driver faults; SPO must then be energy-safe; FS1B-ASC with EN low must not be credited with DESAT,Already Fixed,"§6 already routes V5GD loss, feed loss and FLT_LS to SPO under the release rule; FW-12 already says EN-low ASC is not DESAT-covered. The energy side is R1-F01.",Unchanged (the release rule fix closes the energy side).
Review 1,R1-F09,"CRITICAL — the fast OVP/PWM-fault route is a contract, not a bound implementation","Already Fixed (tracked ①, ⑫, ⑯)",Correct: pin freeze + HIL measurement are the standing gates.,Unchanged.
Review 1,R1-F10,MAJOR — MCU balls and SBC OTP are not bound,"Already Fixed (tracked ①, ⑦)",Correct.,Unchanged.
Review 1,R1-F11,MODERATE — the ALT field mixes drop-ins with redesign candidates (M7 for a fast diode; a 3-lead TO-247 for the 4L QDIS),Confirmed (documentation),"The header said ""footprint-compatible second source""; US1M listed M7 (1N4007 class) for the DESAT chain and the 250 kHz aux rectifier; QDIS listed ""any TO-247"".","ALT redefined as ""candidate — qualify before use""; M7 removed, ES1M/US1MDFQ named; QDIS alternate restricted to TO-247-4L with the same pin order. F134"
Review 1,R1-F12,"CRITICAL — isolation working-voltage approvals are unbound (MGJ, TLP152, transformers, Y-caps)",Confirmed for PS5B/PS5C; Already Fixed (tracked) for the rest,"Murata MGJ2 guide: no 15→±5 V code exists; reinforced approval 150 Vrms. TLP152 (⑪), transformers (⑤), LEM (⑩) were already gates. QA01C-18 and the Y-caps quote a hipot only.",UCC12050 per channel (V_IOWM 1200 Vrms / 1697 VDC) behind its own NCV4276C from V15. Barrier register added (design-basis §6a); new gate ⑳ for QA01C-18 and the Y-caps. F125
Review 1,R1-F13,MAJOR — gate-bias start-up and six-output regulation need measurement,Already Fixed (tracked ⑬),Correct.,Unchanged.
Review 1,R1-F14,MAJOR — the 24 V PTC's interruption voltage vs jump start / clamped load dump,"Confirmed (the coordination, not the PTC)","The Opus check went further than the finding: the notes described the classic TPSMC24CA (V_BR 22.8–25.2 V), which conducts at the 24 V/60 s jump start and, in an ISO 16750-2 test B (35 V, 400 ms) at Ri 0.5–2 Ω, absorbs 130–470 W against ≈ 110 W it can take for 400 ms; at 0.5 Ω the polyfuse trips inside the pulse (0.1–0.25 s hot), sees ≈ 30 V against V_max 24 V and stays latched at 13.5 V until a KL30 cycle. The archived datasheet was the -VR series, a different class.","TPSMC24CA-VR bound explicitly on all three LV entries (AEC-Q101, 24 V stand-off, V_BR 26.7–29.5 V, same pad and price — the archived sheet and the LCSC code were this class already): dark at 24 V, clamps ≤ 33 V at 10–15 A under the TPS55340's 34 V abs max. Test B: 55 W at Ri 4 Ω (covered), ≈ 100 W at 2 Ω (at the extrapolated 400 ms limit — no SMC datasheet rates a pulse beyond 1 ms), 330 W at 0.5 Ω (the polyfuse trips and sees ≈ 30 V). The OEM's Ri is gate ㉓: at ≤ 2 Ω a TVS pulse test or 35 V-rated rails (a ≥ 42 V boost input) decide. The 5 kW 5.0SMDJ24CA was evaluated and not taken (not AEC-Q101, same 1 ms rating limit). The polyfuse is kept: the same-footprint 33 V part holds 1.17 A hot against the 1.19 A worst chain. Computed rows; MPN lock. Zero cost. F130"
Review 1,R1-F15,"MAJOR — the 4XX capacitor is a class, not a part",Already Fixed (tracked ⑧),Correct.,Unchanged.
Review 1,R1-F16,"MAJOR — capacitor ripple/lifetime: 221 A / 260 A ideal, 11 % sharing margin",Already Fixed (tracked ④),"Their 0.6498·I matches our 0.65·I row; the per-can rating is continuous at 70 °C, the 340 A point is a 30 s event (185 A continuous = 49 %). Sharing is the thermal first-article item.",Unchanged.
Review 1,R1-F17,MAJOR — discharge resistor fail-open / post-failure withstand not proven by a class,Already Fixed (tracked ⑮) + Improvement Recommended,A Sonnet search found no catalogue 470 Ω / 10 W part with a published fail-open curve (the fusible FW / AC-CS / CWFS families stop at 100 Ω / 7 W).,"Candidate bound: TE/CGS SQP10 (""will not burn or emit incandescent particles under any overload"", 700 V LEV); the stuck-ON test stays the gate (㉒)."
Review 1,R1-F18,MAJOR — discharge witnessing depends on surviving LV/reference domains,Firmware Handled,FW-07 already invalidates both channels on VOFS/V5GD; FW-18 lacked the consequence.,"FW-18: with either witness invalid the HV state is reported unknown, never safe. F134"
Review 1,R1-F19,"MAJOR — 850 V max is a restricted envelope, not universal 800 V-pack support; the divider is linear to 912 V, not ""hard-clipped""",Already Fixed + Improvement Recommended (documentation),"Our text says ""2 V FS = 911 V, the witness never saturates"" — no clipping claim. FW-03/§2 already state 500–850 V.","variants.md now says a > 850 V pack is a separate configuration (5.1 k bottoms, cans, thresholds, DPT together)."
Review 1,R1-F20,"MAJOR — resolver amplitude, load, fault current and angle integrity are not bound to a target resolver",Confirmed (two parts) + tracked,The amplitude finding is R2-F04 (F124); the fault current is R2-F13 (F128). The resolver itself is a commissioning input (㉑).,See those rows.
Review 1,R1-F21,MAJOR — loss/thermal ratings not validated at the implemented bias and cold-plate boundary,Already Fixed (tracked ④),Correct; the 0.045 K/W is per position in the model.,Unchanged.
Review 1,R1-F22,MODERATE — generated-release equivalence is not independently established,Improvement Recommended (release process),The manufacturer pin manifest is the pin-freeze gate (①).,Verifier guard added (R2-F29); otherwise unchanged.
Review 1,R1-F23,MINOR — variants.md says HW_ID is pin 40,Confirmed (documentation),Stale since the A.9 harness re-lay.,Pin 2. F134
Review 1,R1-F24,MODERATE — the FW-02 τ bands (0.60 / 0.71 s ± 20 %) overlap,Confirmed (documentation),"A 4XX bank fitted with its own discharge board reads 0.71 s, inside the 8XX band.",FW-02 demoted to a plausibility check; the kit's voltage class is proven by traceability and an EOL C/R measurement (dfm.md §4). F134
Review 1,R1-F25,MAJOR — FW-05 mixes rms and instantaneous; 1.25 × 400 = 500 A is below the 566 A crest,Confirmed (documentation),Correct.,"FW-05: 1.25 × √2 × I_pk,rms = ±601 A (8XX) / ±707 A (4XX) instantaneous, both polarities, in calibrated ADC codes. F134"
Review 1,R1-F26,MAJOR — the traction application is not present,Not Applicable (separate deliverable),The contract is the hardware-facing interface; the reviewers say the same.,Unchanged.
