Source,ID,Review statement,Class,Verification,Action / where
Review 1,A11-R01,"CRITICAL — rule (a) was fixed but the §6 matrix is still speed-split, the KL30 row is back-EMF-only and rule (b) applies only at n ≥ n_x; standstill freewheel of the 0.35 mH motor at 340 A rms reaches 1065–1089 V",Confirmed (contract),Reproduced: our own round-12 row is the zero-back-EMF case (61 J → 1089 V from the 880 V trip). Winding energy does not depend on speed.,§6: a column note makes the energy condition apply in both columns; the battery-path-lost row at n < n_x now uses FW-06 LS-ASC as the sink if the link crosses the trip while current flows; the KL30 row cites rule (a) instead of the back-EMF test; rule (b) applies at every operating point where (a) fails and is barred for rows whose premise is the lost battery. F135
Review 1,A11-R02,MAJOR — the 10 k injection bound assumed a powered 5.7 V clamp; unpowered (0.7 V clamp) 35 V gives 3.42 mA; both bias legs pull VMID (6.5 mA at 35 V),Confirmed (margin),(35 − 0.7)/(0.99 × 10.12 k) = 3.42 mA > 3 mA (the S32K39 operating AND absolute limit).,RSINF/RCOSF and RSIN/RCOS → 12 k: 2.92 mA at 35 V into a 0 V node with −1 % resistors; VMID buffer 5.4 mA. Computed row; ERC values. F136
Review 1,A11-R03,MAJOR — the SDADC needs C_AAF 180 pF min / 220 pF typ directly across its inputs; the round-12 100 pF is below it,Confirmed (datasheet condition),"S32K39 DS Table 38: R_AAF 5–20 kΩ, C_AAF 180–220 pF.","CSINA2/CCOSA2 → 220 pF C0G at the pins; corner 22 kHz, −24° on both channels; the excitation-monitor path carries the phase reference. ERC values. F136"
Review 1,A11-R04,"MODERATE — ""ratio-cancelled"" overstates it: Z_DIFF 215–380 kΩ gives up to 1.09° at independent corners",Improvement Recommended (wording),Reproduced (1.09°).,"Row and comments now say ""cancels only as far as the channels match — an EOL calibration item (FW-20)""."
Review 1,A11-R05 / N01,"MODERATE — the verifier counts JSON pages, not distinct assemblies",Confirmed (tooling),Static reading confirmed.,"Fails unless exactly {power, capbank, disch, card} are compared, none missing, none duplicated, ≥ 1500 pins. F137"
Review 1,A11-R06,"MODERATE — the fitted TPS55340QRTERQ1 is 38 V recommended / 40 V absolute; the 34 V (and an older 45 V) figures were wrong and the ""≥ 42 V boost"" suggestion a false premise",Confirmed (documentation),"TPS55340-Q1 SLVSBV5C §6.1/6.3 (archived): 40 V abs, 38 V rec.","Verify model, BOM text and the gate ㉗ rationale corrected; the commercial part marked PROTO ONLY (34 V). F138"
Review 1,§8 exciter,"8 V pp is not guaranteed: the SWG MAXAPP low corner gives 6.98 V pp, low-low corners 6.5 V pp",Improvement Recommended (specification),Reproduced.,The row states 8 V pp as a target and ≥ 6.5 V pp as the resolver-selection minimum; gate ㉕ carries it.
Review 1,§8 UCC12050 grade,the catalogue part is not AEC-Q100; the -Q1 alternate costs +₹260,Improvement Recommended,Correct.,The BOM names UCC12051QDVERQ1 as the production AVL part and the UCC12050 as the proto fit (consistent with every other -Q1 part on the card).
Review 2,R01,CRITICAL — low-speed energy gap; rule (b) at n ≥ n_x only; battery retention cannot be credited where the premise is a lost battery,Confirmed (contract),Same as A11-R01 (their 712.8 / 1089.4 V reproduce our row).,See A11-R01. F135
Review 2,R02,MAJOR — injection with an unpowered MCU (3.42 mA); the PESD2IVN24 sits behind the 10 k and cannot help,Confirmed,Same as A11-R02.,12 k. F136
Review 2,R03,MODERATE — the boost upgrade argument used the non-Q1 datasheet,Confirmed (documentation),Same as A11-R06.,F138
Review 2,R04,MODERATE — the LDO thermal PASS used 40 K/W; the NCV4276C DPAK reference pad is 58.5 K/W (1.14 in²) / 75.1 K/W; the 50 mA is typical,Confirmed (model),NCV4276C thermal table (archived).,"Row: 76 mA worst (50 mA × 1.2 + AMC1311), 0.76 W, 58.5 K/W → Tj ≈ 129 °C at 85 °C (WARN); layout rule ≥ 1.2 in² 2 oz copper per LDO (dfm §4); measured at the hot first article. F139"
Review 2,R05,MODERATE — exciter topology accepted; 8 V pp conditional; ALM2402 cold slew close,Improvement Recommended,Same as recheck-1 §8.,Target/minimum stated; gate ㉕.
Review 2,R06,"MAJOR — the TPSMC-VR pulse curve stops at 1 ms; no 400 ms case, 4 Ω included, is ""covered""",Confirmed (wording),Correct.,"Both TVS rows are WARN with ""no datasheet rating beyond 1 ms""; gate ㉗ text corrected (the boost is not the limiter; the OEM's Ri and supplier long-pulse data or a test are)."
Review 2,Hall timing,0.70 ms was the decay to 0.3 V; the window edge is 0.2 V → 0.83 ms,Confirmed (wording),Correct.,Row recomputed to the 0.2 V edge.
Review 2,Verifier,as A11-R05,Confirmed,—,F137
