Source,ID,Review statement,Class,Verification,Action / where
Review 1,RR01,"MAJOR — the clear one-shot (RLAT2 10 k / CCLR 15 nF) drives ULAT2 /CLR at ≈63,500 ns/V; TI allows 5 ns/V at 5 V",Confirmed,"τ = 150 µs; the 30–70 % traversal takes 127 µs. SN74LVC1G74 §6.3: Δt/Δv ≤ 5 ns/V at 5 V, and the part has no Schmitt input (its full text never mentions one). Logically the edge is mostly benign, because a clear with PRE high cannot change /Q. The ROC violation is still four orders of magnitude, which leaves the recovery handshake undefined.","USCH = 74LVC3G17-Q100 (Nexperia; no Δt/ΔV row in its ROC table, Grade 1). Channel 1: FLT_CLR_N → ULAT2 /CLR. With the buffer's V_T+ window (0.40–0.73 V_CC) and CCLR now C0G, the one-shot is 72–210 µs at the buffer output. It needs ≥ 49 µs to deliver the drivers' reset edge (verification report, *Gate drive*). Lock-in: no RC node lands on an LVC input."
Review 1,RR02,"MAJOR — the 10 k / 3.3 nF delay feeds the 74LVC1G11-Q100 at ≈14,000 ns/V; the datasheet allows 10 ns/V despite its ""Schmitt action"" wording",Confirmed,"τ = 33 µs. Nexperia's Table 6 says 10 ns/V at 2.7–5.5 V, and the prose about ""Schmitt action"" does not waive it. The same holds for 74LVC1G74-Q100 and 74LVC1G08-Q100 (checked).","USCH channel 2: FLT_OKD → UAND2.C. The global drop is now 22–53 µs (V_T− window 0.22–0.49 V_CC, R ±1 %, C0G ±5 %). That exceeds the faulted driver's 11.8 µs soft-off at the DS-minimum 100 mA, taken from the new 16.7 V high-corner rail."
Review 1,RR03,CRITICAL — the one-shot does not stop repeated clears; 40 µs low / 4 µs high keeps FLT_OKD at 4.2–4.8 V,Confirmed (the claim) → Firmware Handled,"The counterexample is right, and the A.6 comment overclaimed ""a stuck pin or runaway code"". What the circuit actually does: a faulted NSI6611 keeps itself off until EN has been low ≥ 0.55–1.3 ms and rises again. Re-pulsing the clear holds DRV_EN high, so it never gives the driver that reset edge. What is left is the healthy switches following runaway PWM, which is the runaway-code hazard itself.","Three layers, zero BOM cost: • FW-15: FLT_HS_N/FLT_LS_N (already MCU inputs) routed to eFlexPWM FAULT inputs in fail-safe, manual-clear mode and write-protected, so PWM is forced low in the MCU hardware while any FLT is asserted. • The drivers' own latch. • FW-12: FS26 Q&A watchdog with WD_ERR_LIMIT = 2 → FS0B. Its release needs a token-derived SPI write that runaway code cannot produce. Comment and design-basis claims corrected. The reviewer's ""separate driver reset from PWM permission"" is met inside the MCU; no latch redesign needed."
Review 1,RR04,CRITICAL — S9 printed PASS on the 400 mA soft-off; at 100 mA the IGBT needs 8.9 µs vs tP ≤ 6 µs,Confirmed (checker criterion),"The reviewer's arithmetic reproduces exactly: detection 2.98 µs, total 4.46 / 8.92 µs. With the corrected gate rail (A6-R06), the soft-off now starts from the 16.7 V high corner: 4.77 µs at 400 mA, 10.1 µs at 100 mA.","Both rows (design-verify, S9) are now WARN = release gate, showing both corners. The gate closes with the NOVOSENSE I_STO distribution, the hiitio SC envelope at 850 V and the actual gate bias, and a contained SC test with integrated energy. 82 pF is kept; blanking is not shrunk blindly."
Review 1,RR05,CRITICAL — ASC overrides only the low sides; DRV_EN=H + PWM_UH=H + ASC=H shoots through; the FS1B/MCU-dead path is not covered,Confirmed,"Two gaps. (1) The MCU path had no defined entry order. (2) With FS1B_TDELAY = 0 (default), FS0B and FS1B assert together, and the HS turn-off (EN deglitch ≤ 60 ns + IGBT turn-off) raced the LS turn-on (TLP152 ≤ 170 ns + tASC_r ≥ 390 ns). Datasheet constraint (DS 1.2 §8.12): DESAT is honoured over ASC only with EN high and IN+ high/IN− low; with EN low the table marks it ""irrelevant"".","Break-before-make without touching EN (firmware-contract §4c): • CASCD 12 nF + DASCR (power board): the LS ASC starts ≥ 3.4 µs after the latch sets; entry ≤ 7.0 µs, release ≤ 0.75 µs. • FS1B path: FS0B drops DRV_EN, so the HS are off ≈0.2 µs after it; that is hardware. • MCU path: eFlexPWM fault on the high-side outputs → ASC_REQ → PWM-ASC after the dead time (LS on via IN+, EN high), so LS DESAT stays active. A shorted HS then gives one bounded SC event. • Exit is MCU-sequenced (FW-06a). • Residual: FS1B-ASC runs with EN low. A new HS short during it is a double fault; a NOVOSENSE statement is a release gate. A first draft also dropped DRV_EN from the latch (DASC). It was removed after the cross-check, because it switched the LS DESAT off. ₹0.7."
Review 1,RR06,"CRITICAL — the 20 µs OVP requirement is not an implemented guarantee; filter τ 6.19 µs, 100 kS/s adds ≈10 µs",Firmware Handled (open validation),"The 897 / 538 V endpoints reproduce. The budget was a written number, and ASC entry was not in it.","FW-06 rewritten as a measured budget: • filter lag 6.2 + AMC1311B 2.1 + receiver 0.3 + sample wait ≤ 5.0 (≥ 200 kS/s per channel, free-running) + conversion 1.0 + ADC watchdog → eFlexPWM fault → ASC_REQ 1.0 = 15.6 µs; • plus ≤ 7.0 µs hardware ASC entry with all six switches off (phase current up to 481 A into the link); • → 905 V (8XX) / 542 V (4XX), 90 % of the cans' 85 °C U_N. Route specified; HIL event-to-ASC measurement is the gate. No comparator: the reviewer agrees it is needed only if the route misses the budget."
Review 1,RR07,Thermal co-heating not closed — S4 injects only the switch die,Confirmed (model gap),"The shared coldplate carries IGBT + diode loss. tjPos puts both into the plate term (loss-model.mjs), in the steady-state bounds and in the S4 transient.","S4 30 s peak: 8XX IGBT 129 °C (was 127), 4XX IGBT 123 °C (was 121). Steady-state bounds: 142 °C (WARN, 95 % of Tvjop, conservative for a 30 s peak); diode regen 121 °C. The coldplate Rth stays the thermal release gate."
Review 1,RR08,The 8 kHz SiC mode's 1.2 kHz current-loop ceiling misses 45° PM (43.3°),Confirmed (contract),S6 reproduces 51.4° / 43.3° / 47.2°.,"Firmware-contract SKU table: ≤ 1.2 kHz at 10 kHz, ≤ 1.1 kHz at 8 kHz. The ceiling is per switching mode; the parameter set carries one gain set per f_sw."
Review 1,RR09,The 4XX capacitor is still a class specification,Already Fixed (tracked procurement gate),Already listed as the 4XX can RFQ gate.,"RFQ requirement added to the part spec: the ripple rating must be stated at 5 kHz for the IGBT build, not inherited from 10 kHz."
Review 1,RR10,MAJOR — CB15O1/2 (22 µF/25 V) on V15B see the pass-through (≈38.5 V at 39 V),Confirmed,V15B follows V12L − V_f in pass-through. At the design's own ≈33 V clamped load dump that is 132 % of 25 V. All other 12 V-node capacitors were already 50 V.,"22 µF/50 V 1210 (the same part as CLVC2: one line item, same pads). The boost loop was re-checked over the realistic 20–35 µF effective range: PM 72–84° (S2 keeps the PM-worst 35 µF). New regression row: CB15O at the clamped load dump, 66 %."
